name,position,team,clean_sheets,goals_conceded,goals_scored,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,team_a_score,team_h_score,total_points,value,was_home,yellow_cards,GW,matchFile,homeTeamID,awayTeamID,goals_scored_distribution
John Stones,DEF,Man City,0,0,0,40,10,0,0,0,0,1,4,1,55,True,0,2,MNCIPS,12,9,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Sam Morsy,MID,Ipswich,0,4,0,90,13,0,0,0,0,1,4,1,50,False,1,2,MNCIPS,9,12,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Lewis Hall,DEF,Newcastle,0,0,0,21,3,0,0,0,0,1,1,1,45,False,0,2,BOUNEW,14,2,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Marc Guiu Paz,FWD,Chelsea,0,0,0,0,20,0,0,0,0,6,2,0,50,False,0,2,WOVCHE,5,19,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Tom Cannon,FWD,Leicester,0,0,0,0,9,0,0,0,0,1,2,0,45,False,0,2,FULLCI,10,8,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Ben Davies,DEF,Spurs,0,0,0,0,8,0,0,0,0,0,4,0,45,True,0,2,TOTEVE,17,7,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Tyler Morton,MID,Liverpool,0,0,0,0,4,0,0,0,0,0,2,0,45,True,0,2,LIVBRE,11,3,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Matheus França de Oliveira,MID,Crystal Palace,0,0,0,0,19,0,0,0,0,2,0,0,45,True,0,2,CRYWHU,6,18,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Calvin Bassey,DEF,Fulham,0,1,0,90,11,0,0,0,0,1,2,2,45,True,0,2,FULLCI,8,10,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Eddie Nketiah,FWD,Arsenal,0,0,0,0,2,0,0,0,0,2,0,0,59,False,0,2,AVLARS,1,1,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Andreas Hoelgebaum Pereira,MID,Fulham,0,1,0,85,11,0,0,0,0,1,2,2,55,True,0,2,FULLCI,8,10,"{""0"": 0.9401216766502194, ""1"": 0.05908071460510683, ""2"": 0.0007976087446743274, ""3"": 0}"
Matheus Santos Carneiro Da Cunha,FWD,Wolves,0,5,1,67,6,0,0,0,0,6,2,6,65,True,0,2,WOVCHE,19,5,"{""0"": 0.3182411912092322, ""1"": 0.4633875532595402, ""2"": 0.19289253327079, ""3"": 0.025478722260438763}"
Amadou Onana,MID,Aston Villa,0,1,0,75,1,0,0,0,0,2,0,1,50,True,1,2,AVLARS,2,0,"{""0"": 0.8948282933931411, ""1"": 0.10225069911264223, ""2"": 0.0029210074942173717, ""3"": 0}"
Morgan Rogers,MID,Aston Villa,0,2,0,90,1,0,0,0,0,2,0,2,50,True,0,2,AVLARS,2,0,"{""0"": 0.8955868431426008, ""1"": 0.10115986938334036, ""2"": 0.003221803481176344, ""3"": 3.1483992883399314e-05}"
Reiss Nelson,MID,Arsenal,0,0,0,2,2,0,0,0,0,2,0,1,50,False,0,2,AVLARS,1,1,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Tosin Adarabioyo,DEF,Chelsea,0,0,0,0,20,0,0,0,0,6,2,0,45,False,0,2,WOVCHE,5,19,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Matt Targett,DEF,Newcastle,0,0,0,0,3,0,0,0,0,1,1,0,40,False,0,2,BOUNEW,14,2,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Filip Marschall,GK,Aston Villa,0,0,0,0,1,0,0,0,0,2,0,0,40,True,0,2,AVLARS,2,0,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Jan Paul van Hecke,DEF,Brighton,0,1,0,90,14,0,0,0,0,1,2,1,45,True,1,2,BHAMNU,4,13,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Jean-Clair Todibo,DEF,West Ham,0,0,0,2,7,0,0,0,0,2,0,1,45,False,0,2,CRYWHU,18,6,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Chris Mepham,DEF,Bournemouth,0,0,0,0,15,0,0,0,0,1,1,0,45,True,0,2,BOUNEW,0,14,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Ollie Watkins,FWD,Aston Villa,1,0,0,64,1,0,0,0,0,2,0,2,90,True,0,2,AVLARS,2,0,"{""0"": 0.3164900946721947, ""1"": 0.49964521167566134, ""2"": 0.1838646936521445, ""3"": 0}"
Jorge Cuenca Barreno,DEF,Fulham,0,0,0,0,11,0,0,0,0,1,2,0,45,True,0,2,FULLCI,8,10,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Rico Lewis,DEF,Man City,0,1,0,90,10,0,0,0,0,1,4,2,45,True,0,2,MNCIPS,12,9,"{""0"": 0.4668203592300417, ""1"": 0.5331796407699587, ""3"": 0, ""2"": 0}"
Julián Araujo Zúñiga,DEF,Bournemouth,0,1,0,85,15,0,0,0,0,1,1,2,45,True,0,2,BOUNEW,0,14,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Murillo Santiago Costa dos Santos,DEF,Nott'm Forest,1,0,0,90,17,0,0,0,0,1,0,7,45,False,0,2,SOUNOT,15,16,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
James Tarkowski,DEF,Everton,0,4,0,90,18,0,0,0,0,0,4,0,50,False,0,2,TOTEVE,7,17,"{""0"": 0.7887509253713569, ""1"": 0.19667805850862077, ""2"": 0.014322971517746141, ""3"": 0.0002480446022769811}"
Joël Veltman,DEF,Brighton,0,1,0,90,14,0,0,0,0,1,2,2,45,True,0,2,BHAMNU,4,13,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Jaidon Anthony,MID,Bournemouth,0,0,0,0,15,0,0,0,0,1,1,0,45,True,0,2,BOUNEW,0,14,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Kamaldeen Sulemana,MID,Southampton,0,0,0,0,16,0,0,0,0,1,0,0,50,True,0,2,SOUNOT,16,15,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Timo Werner,MID,Spurs,0,0,0,0,8,0,0,0,0,0,4,0,65,True,0,2,TOTEVE,17,7,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Tyrone Mings,DEF,Aston Villa,0,0,0,0,1,0,0,0,0,2,0,0,45,True,0,2,AVLARS,2,0,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Matz Sels,GK,Nott'm Forest,1,0,0,90,17,0,0,0,0,1,0,6,45,False,0,2,SOUNOT,15,16,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Ryan Yates,MID,Nott'm Forest,0,0,0,24,17,0,0,0,0,1,0,1,50,False,0,2,SOUNOT,15,16,"{""0"": 0.9797634091228249, ""1"": 0.020236590877175553, ""3"": 0, ""2"": 0}"
Amad Diallo,MID,Man Utd,0,1,1,89,5,0,0,0,0,1,2,6,50,False,1,2,BHAMNU,13,4,"{""0"": 0.6897352812433437, ""1"": 0.28984431371208186, ""2"": 0.02042040504457507, ""3"": 0}"
Sam Szmodics,MID,Ipswich,0,3,1,71,13,0,0,0,0,1,4,6,60,False,1,2,MNCIPS,9,12,"{""0"": 0.7104796171188357, ""1"": 0.2895203828811648, ""3"": 0, ""2"": 0}"
Malo Gusto,DEF,Chelsea,0,2,0,90,20,0,0,0,0,6,2,0,50,False,1,2,WOVCHE,5,19,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Hwang Ui-jo,FWD,Nott'm Forest,0,0,0,0,17,0,0,0,0,1,0,0,45,False,0,2,SOUNOT,15,16,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
